"受付番号","意見"
"185001345000000001","・４ページの３行目「以下」は「以下、」のほうがよい。２ページの本文の最下行の３行上の例と同様に。・２ページの１２行目「当たって」と、４ページの９行目「あたって」とは、どちらかに字句を統一したほうがよい。"
"185001345000000002","AIによる画像生成のデータセットにCSAM（イラストや漫画などの創作物を含まない、被害児童が存在する児童ポルノ）が含まれているかどうか、外部から確認出来るようにデータセットの公開を義務付ける必要があると考えます。AIによる画像生成に利用するデータセットの作成には、作品の作成者、著作権者あるいは著作者からの事前の了解と、データセットの利用料の継続的な支払いが必要であると考えます。他業界でのAIのデータ利用には権利者やデータ元への事前の許諾が必要であるにも関わらず、画像生成AIのみ許諾不要な状態を許容する事は、作品の作成者、著作権者ならびに著作者の利益と機会の平等を著しく毀損していると考えます。作品の無断使用は、後発の漫画家、イラストレーター、アニメーターの労働意欲と創作意欲を著しく低下させる可能性がある事も無視されるべきではないと考えます。"
"185001345000000003","生成AI規制法を作ってください。自動車の道交法のように人間とAIは分けて考えるべきです。生成AIは物量と再現性が人間を凌駕していますが、このまま進化しても命（捕食欲求）が無いので植物のように眠ったままで自我は生まれない為、コピー機に近い道具であり、道具に著作権は不要です。生成AI規制法の例としては、学習まではOK、そのままネット等に発表はNG＋免許制にする等でAI開発の足を引っ張ることは無く、著作権とも両立できると思います細部で難しい線引きはあると思いますが、そこは粘り強く対策していただきたいですもしくは30条の4の「特別に著作権を無視できる場合」を明確にすべきです現状「生成AIに関しては基本的著作権派無視して良い」と解釈している人が多く、非常にわかりにくくなっており、現状のまま司法に丸投げでは、被害者の泣き寝入り、もしくは裁判所が足らなくなります海外では規制が進んでおり、日本だけ無策な状況と言っても過言ではありませんこのまま進めば各種コンテンツ業界はAI汚染されているとして海外から取引されなくなり、AIに職を奪われる為人は育たず、各業界は滅び、経済は低迷して少子化も加速し日本が滅びます。日本を助けてください"
"185001345000000004","赤松議員の発言を見ると被害は起きていないという風に認識されているようですが、生成ＡＩを使った被害は既に何件か起きています。海外では自殺者も出してしまっている事例もあるのですがそのあたりはどのようにお考えでしょうか？また、今現在の生成AIを日本では学習無制限（学習パラダイス）にした場合、日本が誇る貴重なコンテンツを無償で他に明け渡す行為になるという事には気づいているでしょうか？『ＡＩで日本はチャンスをつかむ』というのは具体的にどのようなプランがあるのかが知りたいです。「将来的にはこうなるはず～」という曖昧な言い方ではなく生成AIが登場してこの一年でどのような成果・メリットがあったのか例を挙げて戴ければと思います。今一度クリエイター側の意見を真摯に受け止め、世界情勢に合わせた規制を日本国内でも求めます、よろしくお願いします。"
"185001345000000005","A生成AIの出力した画像が「作風等」を模倣している場合、著作権法上の侵害にならないという点について（18ページ等）これはクリエイター・イラストレーター内での認識と齟齬があり、著作権法の柔軟な改訂が求められます。イラストレーターの作風は一目で「Aさんの作品だ」と分かるものがあります。ゆえに17ページに記載のあるように「作風の模倣」なのか「表現のレベルにおいても創作的表現が体得できる」のかの基準を速やかに、かつ極めて厳格に具体的に定め、周知することが急務であると考えます。生成AIユーザーとクリエイターの間では大きな論争が起きており、日本のクリエイティビティを衰退させ損なっています。クリエイターは生成AIを利用していないことを求められるなど、「犯人探し」の様相を呈しています。政府広報などで、著作権について、また生成AIの利用について周知を徹底することが、日本の創作者を活気づけることに繋がると考えます。B「作風の模倣」は著作権侵害にあたらないという指摘について、また他の記載について、著作者人格権等についてはどのように解釈されるのでしょうか？学習データベースに自分の作品Bが含まれるとき、作品Bを学習して生成された作品Cは作品Bの翻案でも、改変でもなく、著作権および著作者人格権を侵害しないのでしょうか。C個人が生成AIの学習に利用されることを拒否する簡単な方法を、法整備もしくは政府広報等で設定してください。生成AIの学習に利用されたくないクリエイターが、その手段がなくモチベーションが下がることで日本全体のクリエイティビティの損失となります。定められたウォーターマークを設定する等の、簡便なAI学習拒否の仕組みを作ってください。"
"185001345000000006","生成AI利用者ですさまざまな議論がなされているのをおおむね頷ける内容だな、と思って拝見していますが４．関係者からの様々な懸念の声についてについての意見です自分自身も創作者であり、懸念の声も非常に理解できますが、現状一部のAI規制を訴える方々（いわゆる過激な「反AI」と呼ばれる方々）が、生成ＡＩ利用者に対し、犯罪者とのレッテル張り等を行っています実務においても、とあるサービス上のイラスト案件にてＡＩの一部利用が問題ないということを確認して進めたのにも関わらず、提出後にそちらのサービスの利用者、また他のイラスト作成者より反発の声が上がり、制作物の使用取り下げ及びその後の生成ＡＩ使用禁止に至ったことがございました現状はむしろＡＩ利用者の側に委縮、またプラットフォームからの締め出し等の排斥行動が強く行われていると感じますので、出力物において著作権侵害が無ければ利用自体は問題ないこと、また好き嫌いを論じるのはもちろん問題ないとしても、犯罪者扱いをするようなことがないことを周知、啓蒙を一層進めて頂ければと思います"
"185001345000000007","「学習のための複製等を防止する技術的な措置が施されている場合等に30条の4ただし書の適用がある」報道機関を含む権利者によるこの解釈の拡大は、AI開発において大規模な言語データ収集に対して強い抑制効果をもたらすでしょう。過去の類似の事例を鑑みても開発者が萎縮し国産AIの開発が頓挫する可能性があります。せっかく作った法第 30 条の４を意味の無いものにし、我が国の発展を妨げるような法的解釈はやめてください。権利者ばかりではなくAI開発者からの意見にも、耳を傾けていただけないでしょうか？どうかお願いします。この国の、10年、50年、100年、もっと先の未来を真剣に考えてほしいです。私たちは少子化で年々子供が生まれなくなっています。国民はどんどん老いていきます。将来の国民を支えるためにも、AI技術はこの国の未来に必要な技術です。"
"185001345000000008","【意見の基本思想】（1）人間に許される行為は基本的にAIにも許されるべきである．（2）特定の職業の収入を制限の理由とすべきではない．【詳細説明】（1）人間に許される行為は基本的にAIにも許されるべきである．人間も成長過程においてさまざまな著作物を用いて学習する．文学作品を読み，音楽を聴き，美術においては模写さえ行われる．人間とAIとの差は何か？それは極めて曖昧である．たとえば人間の脳の一部が損傷し，将来的にその部分を人工臓器で置き換えたとする．その置き換えが脳全体に及んだ際，それは人間なのかAIなのか不明である．速度が違うのであろうか？将棋において，たとえば 氏はAI以上の高速で読む場合がある．将来的にAI並みの速度で著作物を作成できる人間が登場しないとは言えない．こうした状況に鑑み，人間とAIとの差を厳密に定義することは不可能であり，人間に許される行為は基本的にAIにも許されなくてはならないと結論づける．（2）特定の職業の収入を制限の理由とすべきではない．クリエーターの収入が減ることが制限が必要な理由と考える場合があり得る．しかし，過去においてもそのようなことは起きていた．たとえば日本語ワープロの登場は日本語タイピストの職を奪った．将来的に自動運転が実現されれば，タクシー運転手の職を奪うことになるかも知れない．既にAIの登場で縮小される職業のリストが作成されている．何かが機械化されたとしても真に創造的なものには価値が認められ，高度な手作りの作品は今でも高い価値がある．類似品が増えることで大量生産の粗悪品の価値は縮小されるかも知れないか，それは通常の製品に関しても同じ状況にある．したがって，クリエーターの収入が減ることをもって，制限の理由とするのは合理的ではない．"
"185001345000000009","AIにおいての学び（すなわちデータのインプットとその処理蓄積）についてを、著作権で制限することには賛成できません。それを行うことはコンピューターサイエンスの発展を妨げることとなりますし、何よりも人間の学びと何が違うのかという観点で考察を行った際の差異があまりないように思われます。であれば、人間も誰かの作品から学ぶことは著作権において違法であるといえなくもないはずです。私は現在の文化庁の解釈である、AIは道具にすぎず、AIを使って何かを生成した人間なり法人がそれを公に出したときにはじめて著作物と認められ、著作権の観点での類似などが検討されるべきと考えます。もし、AIにおいての学びと出力が著作権法に違反するのであれば、AIにも人としての格を法的に与えるべきです。将棋の世界において、AIが人間よりも強くなったことで、人間の将棋もレベルが上がったといいます。文化的な作品においても、同様な考え方でAIを活用すべきであると考えます。"
"185001345000000010","素案の「5.各論点について」の「(4)その他の論点について」に「市場における対価還元を促進することについても検討が必要である」とありますが、生成AIをめぐる現状を鑑みるに、著作権法「第30条の4」の規定こそが、「著作権者に機械学習の対価を支払う必要はない」という考えを助長させているように思えます。このような状況が続くことはクリエイター等のウェルネスを悪化させる一方であり、良質なコンテンツの生産に打撃を与えることは明確であると考えます。長い目で見た時に、AI技術が社会にとって有益な存在であるために、AIの学習には著作権者の許諾を必要とする法改正の決断を下していただきたい、というのが私の意見です。"
